_id,month,date,journal_ifactor,publication_type,oa_type,fund_count,fund_class,author_count,instituion_count,cooperate_way,avg_author_cited,author_cited,literature_length,Language,Cited Reference Count,"Times Cited, All Databases",DOI,country,new_oa_type
65facb02ef3ccaced9d707aa,1,2018-1-01,2.2,J,"Green Submitted, Green Accepted",1,2,2,1,2,15,30,20,English,72,14,10.1016/j.jebo.2017.11.030,中国,green
65facb03ef3ccaced9d707ab,11,2018-11-01,3.3,J,"hybrid, Green Submitted, Green Accepted",1,2,3,1,2,110,330,14,English,35,9,10.1016/j.jinteco.2018.09.009,中国,hybrid
65facb03ef3ccaced9d707ac,7,2018-7-01,2,J,Green Published,3,2,2,1,2,13,26,31,English,22,26,10.1016/j.red.2017.12.007,中国,green
65facb03ef3ccaced9d707ad,,,,J,"gold, Green Submitted",2,1,2,1,2,10,20,,English,69,2,10.5018/economics-ejournal.ja.2018-41,中国,gold
65facb04ef3ccaced9d707ae,6,2018-6-01,12.8,J,Green Accepted,3,2,3,1,2,112.66666666666667,338,12,English,42,27,10.1016/j.eneco.2018.05.015,中国,green
65facb04ef3ccaced9d707af,,,8.1,J,Green Accepted,1,1,3,1,2,9.666666666666666,29,19,English,22,2,10.1111/cwe.12242,中国,green
65facb04ef3ccaced9d707b0,3,2018-3-01,2.3,J,Green Published,7,2,3,1,2,35,105,24,English,67,18,10.1111/1756-2171.12223,中国,green
65facb05ef3ccaced9d707b1,3,2018-3-01,1.8,J,Bronze,2,1,2,1,2,1.5,3,17,English,48,3,10.1142/S0217590817440039,中国,bronze
65facb05ef3ccaced9d707b2,1,2018-1-01,4.7,J,hybrid,1,1,3,1,2,8.666666666666666,26,12,English,47,21,10.1016/j.econmod.2017.03.023,中国,hybrid
65facb05ef3ccaced9d707b3,11,2018-11-01,5,J,"Green Published, Green Submitted",1,2,2,1,2,42.5,85,20,English,41,42,10.1016/j.jdeveco.2018.08.009,中国,green
65facb06ef3ccaced9d707b4,10,2018-10-01,8.2,J,Green Published,3,2,3,1,2,248.33333333333334,745,,English,43,73,10.1086/698750,中国,green
65facb06ef3ccaced9d707b5,5,2018-5-01,3.4,J,Green Submitted,1,1,4,1,2,8,32,10,English,55,11,10.1016/j.qref.2017.11.007,中国,green
65facb07ef3ccaced9d707b6,3,2018-3-01,1.6,J,Green Submitted,4,2,4,1,2,34.75,139,18,English,19,8,10.1007/s00199-016-1028-6,中国,green
65facb07ef3ccaced9d707b7,,,3.08,J,"Bronze, Green Published",8,2,3,1,2,80,240,16,English,38,14,10.1080/1331677X.2017.1421996,中国,bronze
65facb07ef3ccaced9d707b8,1,2018-1-01,3.3,J,Green Published,1,2,2,1,2,84.5,169,14,English,27,69,10.1016/j.jinteco.2017.11.005,中国,green
65facb07ef3ccaced9d707b9,,,,,,4,1,2,1,2,283,566,26,English,56,16,10.3846/tede.2018.3698,中国,gold
65facb08ef3ccaced9d707ba,11,2018-11-01,3.4,J,Green Submitted,2,1,4,1,2,391.75,1567,10,English,43,155,10.1016/j.qref.2018.05.016,中国,green
65facb08ef3ccaced9d707bb,11,2018-11-01,2,J,Green Accepted,1,2,2,1,2,89,178,3,English,18,3,10.1016/j.econlet.2018.08.039,中国,green
65facb08ef3ccaced9d707bc,7,2018-7-01,1.1,J,"Green Submitted, hybrid",8,2,5,1,2,687.2,3436,22,English,73,20,10.1016/j.geb.2018.04.004,中国,hybrid
65facb09ef3ccaced9d707bd,5,2018-5-01,1.5,J,Green Submitted,1,2,4,1,2,24.5,98,30,English,28,14,10.1111/iere.12281,中国,green
65facb09ef3ccaced9d707be,,,3.08,J,Bronze,3,1,1,1,0,34,34,11,English,35,6,10.1080/1331677X.2018.1432373,中国,bronze
65facb0aef3ccaced9d707bf,2,2018-2-01,12.8,J,Green Published,2,2,3,1,2,56,168,11,English,42,28,10.1016/j.eneco.2018.01.026,中国,green
65facb0aef3ccaced9d707c0,2,2018-2-01,0.7,J,"gold, Green Submitted",3,1,2,1,2,6,12,14,English,26,0,10.18267/j.pep.637,中国,gold
65facb0aef3ccaced9d707c1,,,,,,1,2,3,1,2,2.6666666666666665,8,9,English,52,8,10.5755/j01.ee.29.1.16878,中国,gold
65facb0aef3ccaced9d707c2,,,,,,3,1,5,1,2,15.6,78,22,English,43,21,10.1080/09535314.2018.1431610,中国,green
65facb0aef3ccaced9d707c3,,,,,,1,2,3,1,2,262.6666666666667,788,10,English,23,2,10.1080/00036846.2018.1468555,中国,green
65facb0aef3ccaced9d707c4,,,,,,2,1,6,1,2,7.333333333333333,44,22,English,88,16,10.3846/20294913.2017.1303648,中国,gold
65facb0bef3ccaced9d707c5,1,2018-1-01,12.8,J,Green Published,1,2,3,1,2,38,114,13,English,61,41,10.1016/j.eneco.2017.11.022,中国,green
65facb0bef3ccaced9d707c6,12,2018-12-01,6.8,J,Green Accepted,3,2,4,1,2,0.25,1,20,English,22,1,10.1016/j.chieco.2018.07.007,中国,green
65facb0bef3ccaced9d707c7,8,2018-8-01,,J,"Green Accepted, Green Submitted",1,2,5,1,2,10,50,25,English,137,11,10.1007/s40888-018-0120-8,中国,green
65facb0cef3ccaced9d707c8,5,2018-5-01,,C,Green Submitted,1,1,3,1,2,103.66666666666667,311,4,English,5,94,10.1257/pandp.20181027,中国,green
65facb0cef3ccaced9d707c9,3,2018-3-01,12.8,J,hybrid,3,2,5,1,2,92,460,13,English,68,52,10.1016/j.eneco.2018.02.004,中国,hybrid
65facb0def3ccaced9d707ca,3,2018-3-01,2,J,Green Submitted,1,2,2,1,2,18.5,37,20,English,37,11,10.1111/roiw.12273,中国,green
65facb0def3ccaced9d707cb,,,,,,1,2,2,1,2,23,46,28,English,70,15,10.3846/20294913.2018.1483977,中国,gold
65facb0def3ccaced9d707cc,,,,,,1,2,2,1,2,1137,2274,22,English,49,5,10.1080/17421772.2017.1353128,中国,green
